BIL,NEGERI,NAMA SYARIKAT,ALAMAT TETAP (SURAT MENYURAT),ALAMAT TEMPAT BERNIAGA,NO.TELEFON BIMBIT / EMEL,TARIKH SIJIL PENGIKTIRAFAN BESS,TARIKH TAMAT PENGIKTIRAFAN BESS,NO. SIRI BESS
12,WP KUALA LUMPUR & PUTRAJAYA,"NELSON'S FRANCHISE
(M) SDN BHD","NO 12A, JALAN NILAM 2, TAMAN PERINDUSTRIAN TEKNOLOGI TINGGI SUBANG, SUBANG JAYA, 47500 PETALING, SELANGOR","TK02,LEVEL 3 (AEON MALL TAMAN MALURI), JALAN JEJAKA 2, TAMAN MALURI, 55100 CHERAS, WILAYAH PERSEKUTUAN KUALA
LUMPUR",6016-3334268,20/11/2025,19/11/2028,BeW0725011-0/1
13,WP KUALA LUMPUR & PUTRAJAYA,CHOIZES CONCEPT STORE SDN BHD,"D6-3A-17, BANGUNAN PERDAGANGAN D6, 801 JALAN SENTUL, KUALA LUMPUR, KUALA LUMPUR, 51100 TITIWANGSA, WILAYAH PERSEKUTUAN KUALA LUMPUR","UNIT G-03,GROUND FLOOR, MOB SPECIALIST CLINICS, NO.282,JALAN AMPANG, KUALA LUMPUR, 50450 TITIWANGSA, WILAYAH PERSEKUTUAN KUALA LUMPUR",6019-3862832,20/11/2025,19/11/2028,BeW0925006-0/1
14,WP KUALA LUMPUR & PUTRAJAYA,A KLEINE PAUSE SDN. BHD.,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1 GLENMARIE, SHAH ALAM, 40150 PETALING, SELANGOR","LOT 1-3, DANAU KOTA KOMERSIAL, NO.1 JALAN 6A,6, JALAN TAMAN IBU KOTA JALAN 6A/6 TAMAN SETAPAK INDAH, 53300 TITIWANGSA, WILAYAH PERSEKUTUAN KUALA
LUMPUR",6019-3229033,31/10/2025,30/10/2028,BeW0625036-0/1
15,WP KUALA LUMPUR & PUTRAJAYA,SINGGAH FOOD ENTERPRISE,"43 JALAN 6/7 TAMAN SRI RAYA, 68000 HULU LANGAT, SELANGOR","NO4 LUCKY LUCKY FOODSTORE, KOMUNE LIVING & WELLNESS JALAN TASIK PERMAISURI, 56000 CHERAS, WILAYAH PERSEKUTUAN
KUALA LUMPUR",6018-2754858,31/10/2025,30/10/2028,BeW0825051-0/1
16,WP KUALA LUMPUR & PUTRAJAYA,MCLEAN GREEN VEGETARIAN SOLUTION,"A-12-05 LUMAYAN APARTMENT, JLN TASIK PERMAISURI 2, BDR TASIK PERMAISURI, KUALA LUMPUR, 56000 CHERAS, WILAYAH
PERSEKUTUAN KUALA LUMPUR","NO 7 LUCKY LUCKY FOODSORE, KOMUNE LIVING & WELLNESS JALAN TASIK PERMAISURI, 56000 CHERAS, WILAYAH PERSEKUTUAN
KUALA LUMPUR",6011-60738065,31/10/2025,30/10/2028,BeW0825058-0/1
17,WP KUALA LUMPUR & PUTRAJAYA,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1 GLENMARIE, SHAH ALAM, 40150 PETALING, SELANGOR","LOT NO. LG-L1, LOWER GROUND FLOOR KOMPLEKS SOGO, NO. 190 JALAN TUANKU ABDUL RAHMAN, 50100 LEMBAH PANTAI,
WILAYAH PERSEKUTUAN KUALA LUMPUR",6017-3021215,27/10/2025,26/10/2028,BeW0625044-0/1
18,WP KUALA LUMPUR & PUTRAJAYA,"BAHAGIA INVESTMENT CORPORATION (MALAYSIA) SDN BHD BERURUSAN SEBAGAI GRAND HYATT KUALA
LUMPUR","C/O GRAND HYATT KUALA LUMPUR, 12 JALAN PINANG, KUALA LUMPUR, 50450 LEMBAH PANTAI, WILAYAH PERSEKUTUAN KUALA LUMPUR","COMMISSARY, LOWER GROUND, 12 JALAN PINANG, KUALA LUMPUR, 50450 LEMBAH PANTAI, WILAYAH PERSEKUTUAN KUALA LUMPUR",kai.eick@hyatt.co m,27/10/2025,26/10/2028,BeW0725067-0/1
19,WP KUALA LUMPUR & PUTRAJAYA,"BAHAGIA INVESTMENT CORPORATION (MALAYSIA) SDN BHD BERURUSAN SEBAGAI GRAND HYATT KUALA
LUMPUR","C/O GRAND HYATT KUALA LUMPUR, 12 JALAN PINANG, KUALA LUMPUR, 50450 LEMBAH PANTAI, WILAYAH PERSEKUTUAN KUALA LUMPUR","POOLHOUSE, LEVEL 2, 12 JALAN PINANG, KUALA LUMPUR, 50450 LEMBAH PANTAI, WILAYAH PERSEKUTUAN KUALA LUMPUR",kai.eick@hyatt.co m,27/10/2025,26/10/2028,BeW0725074-0/1
20,"WP KUALA LUMPUR &
PUTRAJAYA",JFS FOOD ENTERPRISE,"NO.62, JALAN PP56, TAMAN PINGGIRAN PUTRA, BANDAR PUTRA PERMAI, SERI
KEMBANGAN, 43300 PETALING, SELANGOR","SK.PUTRAJAYA PRESINT 9(1), JALAN P9F, PRESINT 9, PUTRAJAYA, 62250 PUTRAJAYA,
WILAYAH PERSEKUTUAN KUALA LUMPUR",6013-2292474,27/10/2025,26/10/2028,BeW0825019-0/1
21,WP KUALA LUMPUR & PUTRAJAYA,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1 GLENMARIE, SHAH ALAM, 40150 PETALING, SELANGOR","NO. 35 (GROUND FLOOR), JALAN WANGSA SETIA 1 WANGSA MELAWATI, 53300 TITIWANGSA, WILAYAH PERSEKUTUAN KUALA
LUMPUR",6019-3229033,27/10/2025,26/10/2028,BeW0825067-0/1
22,"WP KUALA
LUMPUR & PUTRAJAYA",BORAOMBAK SDN BHD,"NO. 3 JALAN HALAMAN 7 TAMAN HALAMAN, AMPANG, 68000 HULU LANGAT, SELANGOR","MARINA PUTRAJAYA, NO.1, JALAN P5/5,
PRESINT 5, 62200 PUTRAJAYA, WILAYAH PERSEKUTUAN KUALA LUMPUR",6011-11466674,27/10/2025,26/10/2028,BeW0525071-0/1
23,WP KUALA LUMPUR & PUTRAJAYA,KIMIE ENTERPRISE,"A-2-9 CENGAL CONDO, JALAN PERMAISURI 3, BANDAR SERI PERMAISURI, CHERAS, 56000 CHERAS, WILAYAH PERSEKUTUAN KUALA
LUMPUR","SEKOLAH KEBANGSAAN TAMAN MIDAH 1, JALAN MIDAH 11, CHERAS, 56000 CHERAS, WILAYAH PERSEKUTUAN KUALA LUMPUR",6012-5329002,27/10/2025,26/10/2028,BeW0425014-0/1
24,WP KUALA LUMPUR & PUTRAJAYA,BELIZE TRADING,"NO 2 JALAN 6C/6 53300 SETAPAK INDAH KUALA LUMPUR, KUALA LUMPUR, 53300 TITIWANGSA, WILAYAH PERSEKUTUAN KUALA
LUMPUR","SJK(C)LAI MENG NO 1 BLOK B,JALAN 15/155C, BANDAR BUKIT JALIL KUALA LUMPUR, 57000 LEMBAH PANTAI, WILAYAH PERSEKUTUAN
KUALA LUMPUR",6016-2753028,27/10/2025,26/10/2028,BeW0825037-0/1
25,"WP KUALA
LUMPUR & PUTRAJAYA",ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1
GLENMARIE, SHAH ALAM, 40150 PETALING, SELANGOR","NO. 50-G, 50- 1ST, JALAN HANG KASTURI,
50050 LEMBAH PANTAI, WILAYAH PERSEKUTUAN KUALA LUMPUR",6017-3021215,27/10/2025,26/10/2028,BeW0625040-0/1
26,"WP KUALA LUMPUR &
PUTRAJAYA",N.K. RESOURCES,"NO 5 JALAN 9/6, TAMAN IKS, SEKSYEN 9, BANDAR BARU BANGI, 43000 HULU LANGAT,
SELANGOR","JALAN P8, PRESINT 8, PUTRAJAYA, 62250 PUTRAJAYA, WILAYAH PERSEKUTUAN KUALA
LUMPUR",6017-2975319,27/10/2025,26/10/2028,BeW0725001-0/1
27,WP KUALA LUMPUR & PUTRAJAYA,"BAHAGIA INVESTMENT CORPORATION (MALAYSIA) SDN BHD BERURUSAN SEBAGAI GRAND HYATT KUALA
LUMPUR","C/O GRAND HYATT KUALA LUMPUR, 12 JALAN PINANG, KUALA LUMPUR, 50450 LEMBAH PANTAI, WILAYAH PERSEKUTUAN KUALA LUMPUR","ROOM SERVICE, LEVEL MEZZANINE, 12 JALAN PINANG, KUALA LUMPUR, 50450 LEMBAH PANTAI, WILAYAH PERSEKUTUAN KUALA LUMPUR",kai.eick@hyatt.co m,27/10/2025,26/10/2028,BeW0725068-0/1
28,WP KUALA LUMPUR & PUTRAJAYA,"BAHAGIA INVESTMENT CORPORATION (MALAYSIA) SDN BHD BERURUSAN SEBAGAI GRAND HYATT KUALA
LUMPUR","C/O GRAND HYATT KUALA LUMPUR, 12 JALAN PINANG, KUALA LUMPUR, 50450 LEMBAH PANTAI, WILAYAH PERSEKUTUAN KUALA LUMPUR","PASTRY, LOWER GROUND, 12 JALAN PINANG, KUALA LUMPUR, 50450 LEMBAH PANTAI, WILAYAH PERSEKUTUAN KUALA LUMPUR",kai.eick@hyatt.co m,27/10/2025,26/10/2028,BeW0725075-0/1
29,"WP KUALA LUMPUR &
PUTRAJAYA",OPTIMIST VENTURE,"LOT 503,KG KONDOK, NILAI, 71800 SEREMBAN, NEGERI SEMBILAN","LOT NO 2, SELERA PUTRA, PRESINT 1, PUTRAJAYA, 62000 PUTRAJAYA, WILAYAH
PERSEKUTUAN KUALA LUMPUR",6017-7371263,27/10/2025,26/10/2028,BeW0625063-0/1
30,WP KUALA LUMPUR & PUTRAJAYA,GIMME4FINGERS MALAYSIA SDN. BHD.,"1ST & 2ND FLOOR, NO. 25-29, JALAN BELIA, KUALA LUMPUR, 50350 TITIWANGSA, WILAYAH PERSEKUTUAN KUALA LUMPUR","LG-09C, BERJAYA TIMES SQUARE, 1 JALAN IMBI, 55100 LEMBAH PANTAI, WILAYAH PERSEKUTUAN KUALA LUMPUR",aqilah.bahari@4fin gers.com,27/10/2025,26/10/2028,BeW0825044-0/1
31,WP KUALA LUMPUR & PUTRAJAYA,"BAHAGIA INVESTMENT CORPORATION (MALAYSIA) SDN BHD BERURUSAN SEBAGAI GRAND HYATT KUALA
LUMPUR","C/O GRAND HYATT KUALA LUMPUR, 12 JALAN PINANG, KUALA LUMPUR, 50450 LEMBAH PANTAI, WILAYAH PERSEKUTUAN KUALA LUMPUR","PITSTOP, LOWER GROUND, 12 JALAN PINANG, KUALA LUMPUR, 50450 LEMBAH PANTAI, WILAYAH PERSEKUTUAN KUALA LUMPUR",kai.eick@hyatt.co m,27/10/2025,26/10/2028,BeW0725066-0/1
32,"WP KUALA LUMPUR &
PUTRAJAYA",ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1 GLENMARIE, SHAH ALAM, 40150 PETALING,
SELANGOR","NO.71 (GF) JALAN MELATI UTAMA 4 TAMAN MELATI, 53100 TITIWANGSA, WILAYAH
PERSEKUTUAN KUALA LUMPUR",6019-3229033,27/10/2025,26/10/2028,BeW0525087-0/1
33,WP KUALA LUMPUR & PUTRAJAYA,RESTORAN RHB,"6-2 JALAN DWITASIK, DATARAN DWITASIK, BANDAR SRI PERMAISURI, KUALA LUMPUR, 56000 CHERAS, WILAYAH PERSEKUTUAN
KUALA LUMPUR","NO.57, JALAN PERMAISURI 9, BANDAR SRI PERMAISURI, 56000 CHERAS, WILAYAH PERSEKUTUAN KUALA LUMPUR",hr@hajris.com.my,13/10/2025,12/10/2028,BeW0825061-0/1
34,WP KUALA LUMPUR & PUTRAJAYA,ALAMRITZ CATERING & WEDDING PLANNER,"LOT 285, JALAN ABANG AMIN, BINTANGOR, 96500 SARIKEI MERADONG, SARAWAK","KELAB GOLF PERKHIDMATAN AWAM, BUKIT KIARA OFF JALAN DAMANSARA, KUALA LUMPUR, 50768 KEPONG, WILAYAH
PERSEKUTUAN KUALA LUMPUR",6019-6421766,13/10/2025,12/10/2028,BeW0625013-0/1
35,WP KUALA LUMPUR & PUTRAJAYA,KEN FOODS KITCHEN MANAGEMENT SDN BHD,"LOT-5-1-12, JALAN 2/109F, DANAU BUSINESS CENTRE, TAMAN DANAU DESA, KUALA LUMPUR, 58100 LEMBAH PANTAI, WILAYAH
PERSEKUTUAN KUALA LUMPUR","LG1-11, LALAPORT BUKIT BINTANG, JALAN HANG TUAH, PUDU, 55100 LEMBAH PANTAI, WILAYAH PERSEKUTUAN KUALA LUMPUR",6013-3650125,13/10/2025,12/10/2028,BeW0625012-0/1
36,"WP KUALA LUMPUR &
PUTRAJAYA",ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1 GLENMARIE, SHAH ALAM, 40150 PETALING,
SELANGOR","108G, JALAN CERDAS, TAMAN CONNAUGHT, CHERAS, 56000 CHERAS, WILAYAH
PERSEKUTUAN KUALA LUMPUR",6019-3229033,13/10/2025,12/10/2028,BeW0625043-0/1
37,WP KUALA LUMPUR & PUTRAJAYA,SAJIAN ISTIMEWA,"NO.40, JALAN SELASEH 16, TAMAN SELASEH, BATU CAVES, 68100 GOMBAK, SELANGOR","KAFETERIA UKM KAMPUS KL, UNIVERSITI KEBANGSAAN MALAYSIA, ARAS 1 BLOK J, JALAN RAJA MUDA ABDUL AZIZ, 50300 TITIWANGSA, WILAYAH PERSEKUTUAN KUALA
LUMPUR",6019-2372700,13/10/2025,12/10/2028,BeW0825039-0/1
38,"WP KUALA LUMPUR &
PUTRAJAYA",ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1 GLENMARIE, SHAH ALAM, 40150 PETALING,
SELANGOR","LOT G12, LEVEL G KL ECO CITY, JALAN BANGSAR, 59200 LEMBAH PANTAI, WILAYAH
PERSEKUTUAN KUALA LUMPUR",6011-62204463,13/10/2025,12/10/2028,BeW0325035-0/1
39,WP KUALA LUMPUR & PUTRAJAYA,CAHAYA MAHLIGAI CATERING & SERVICES,"326 PERSIARAN DESA AMPANG 6, TMN SRI AMPANG, AMPANG, 68000 HULU LANGAT, SELANGOR","JALAN AMINUDDIN BAKI, TAMAN TUN DR ISMAIL, WILAYAH PERSEKUTUAN KUALA LUMPUR, WPKL, 60000 KEPONG, WILAYAH
PERSEKUTUAN KUALA LUMPUR",6017-2297848,13/10/2025,12/10/2028,BeW1025009-0/1
40,WP KUALA LUMPUR & PUTRAJAYA,M&A PLATINUM HOLDING SDN BHD,"G-08, SHAFTSBURY PUTRAJAYA, JALAN ALAMANDA, PRESINT, PUTRAJAYA, 62000 PUTRAJAYA, WILAYAH PERSEKUTUAN KUALA
LUMPUR","G-08, SHAFTSBURY PUTRAJAYA, JALAN ALAMANDA, PRESINT 1, PUTRAJAYA, 62000 PUTRAJAYA, WILAYAH PERSEKUTUAN KUALA
LUMPUR",6019-6172207,13/10/2025,12/10/2028,BeW0625025-0/1
41,WP KUALA LUMPUR & PUTRAJAYA,DINADIRA ENTERPRISE,"E-3A-18, PANGSAPURI AMAN PUTRA, JALAN AMAN PUTRA, TAMAN AMAN PUTRA, JINJANG UTARA, 52000 KEPONG, WILAYAH
PERSEKUTUAN KUALA LUMPUR","67768, JALAN JINJANG PERMAI, JINJANG UTARA, JINJANG UTARA, 52000 KEPONG, WILAYAH PERSEKUTUAN KUALA LUMPUR",6010-8743213,13/10/2025,12/10/2028,BeW0625032-0/1
42,WP KUALA LUMPUR & PUTRAJAYA,AS HAYANA SERVICES,"1/58, LORONG UDANG RAWA, TAMAN SRI SEGAMBUT, KUALA LUMPUR, 52000 KEPONG, WILAYAH PERSEKUTUAN KUALA LUMPUR","JALAN SULTAN AZLAN SHAH, SENTUL, WILAYAH PERSEKUTUAN KUALA LUMPUR, 51200 KEPONG, WILAYAH PERSEKUTUAN
KUALA LUMPUR",6019-3223909,13/10/2025,12/10/2028,BeW0225019-0/1
43,WP KUALA LUMPUR & PUTRAJAYA,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1 GLENMARIE, SHAH ALAM, 40150 PETALING, SELANGOR","LOT 6, BLOCK G, GROUND FLOOR, JALAN MENARA GADING TAMAN CONNAUGHT, 56000 CHERAS, WILAYAH PERSEKUTUAN
KUALA LUMPUR",6011-12978767,13/10/2025,12/10/2028,BeW0325021-0/1
44,WP KUALA LUMPUR & PUTRAJAYA,RESTORAN KAMPUNG PANDAN KARI KEPALA IKAN(W) SDN BHD,"F215 SIGNATURE FOOD COURT, LEVEL 3, SURIA KLCC, JALAN PINANG KLCC, KL, 50088 CHERAS, WILAYAH PERSEKUTUAN KUALA
LUMPUR","LOT G-001, SOUQ PUTRAJAYA, PRESINT 1, PUTRAJAYA, 62000 PUTRAJAYA, WILAYAH PERSEKUTUAN KUALA LUMPUR",6011-24352371,13/10/2025,12/10/2028,BeW0725010-0/1
45,WP KUALA LUMPUR & PUTRAJAYA,KOPI KENANGAN SDN. BHD.,"UNIT 1302, LEVEL 13, UPTOWN 2, NO.2, JALAN SS21/37, DAMANSARA UPTOWN, PETALING JAYA, 47400 PETALING, SELANGOR","LOT G-003, SELERA PUTRA, SOUQ PUTRAJAYA, PRESINT 1, PUTRAJAYA, 62000 PUTRAJAYA, WILAYAH PERSEKUTUAN KUALA LUMPUR",6019-2387726,13/10/2025,12/10/2028,BeW0625062-0/1
46,WP KUALA LUMPUR & PUTRAJAYA,ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1 GLENMARIE, SHAH ALAM, 40150 PETALING, SELANGOR","NO.22 (GROUND FLOOR), JALAN 8/38A, TAMAN SRI SINAR, SEGAMBUT, 51200 KEPONG, WILAYAH PERSEKUTUAN KUALA
LUMPUR",6019-3229033,13/10/2025,12/10/2028,BeW0625042-0/1
47,"WP KUALA
LUMPUR & PUTRAJAYA",SHAW PLAZA SDN BHD,"152 CHANGKAT THAMBI DOLLAH,
KUALALUMPUR, 55100 LEMBAH PANTAI, WILAYAH PERSEKUTUAN KUALA LUMPUR","152 CHANGKAT THAMBI DOLLAH, KUALA
LUMPUR, 55100 LEMBAH PANTAI, WILAYAH PERSEKUTUAN KUALA LUMPUR",6018-3663633,13/10/2025,12/10/2028,BeW0825069-0/1
48,WP KUALA LUMPUR & PUTRAJAYA,PM MEE TARIK (M) SDN BHD,"MEE TARIK KING, LOT G-003, SELERA PUTRA, PUTRAJAYA, 62502 PUTRAJAYA, WILAYAH PERSEKUTUAN KUALA LUMPUR","LOT G-011, (FOOD COURT), SELERA PUTRA, SOUQ PUTRAJAYA, PUTRAJAYA, 62500 PUTRAJAYA, WILAYAH PERSEKUTUAN KUALA
LUMPUR",6017-9608949,13/10/2025,12/10/2028,BeW0625065-0/1
49,WP KUALA LUMPUR & PUTRAJAYA,PAULS CORNER,"LOT 10 (KIOSK K10.05), 1ST FLOOR, GLENEAGLES KUALA LUMPUR BLOCK B, NO 282, 286 & 288 JALAN AMPANG, KAMPUNG BEREMBANG, KUALA LUMPUR, 50450 TITIWANGSA, WILAYAH PERSEKUTUAN KUALA
LUMPUR","LOT 10 (KIOSK K10.05), 1ST FLOOR, GLENEAGLES KUALA LUMPUR BLOCK B, NO 282, 286 & 288 JALAN AMPANG, KAMPUNG BEREMBANG, KUALA LUMPUR, 50450 TITIWANGSA, WILAYAH PERSEKUTUAN KUALA
LUMPUR",6012-6755342,13/10/2025,12/10/2028,BeW0825068-0/1
50,"WP KUALA LUMPUR &
PUTRAJAYA",ZUSPRESSO (M) SDN BHD,"NO. 7, JALAN PENYAJAK U1/45A, SEKSYEN U1 GLENMARIE, SHAH ALAM, 40150 PETALING,
SELANGOR","LOT P.1.05.00, PERSIARAN JALIL UTAMA, BUKIT JALIL, 57000 LEMBAH PANTAI, WILAYAH
PERSEKUTUAN KUALA LUMPUR",6012-4691629,13/10/2025,12/10/2028,BeW0325092-0/1
51,WP KUALA LUMPUR & PUTRAJAYA,ABC SABIR FOODS CORNER,"NO.2, JALAN WARAS 1, TAMAN CONNAUGHT, CHERAS, KUALA LUMPUR, 56000 CHERAS, WILAYAH PERSEKUTUAN KUALA LUMPUR","NO. 2 JALAN WARSA 1, TAMAN CONNAUGHT, CHERAS, 56000 CHERAS, WILAYAH PERSEKUTUAN KUALA LUMPUR",6019-6184568,13/10/2025,12/10/2028,BeW0725005-0/1
52,WP KUALA LUMPUR & PUTRAJAYA,MYCU RETAIL SDN. BHD,"LOT NO 3,JALAN TEKNOLOGI 3/1,TAMAN SAINS SELANGOR 1, SEKSYEN 3,PJU 5,KOTA DAMANSARA, PETALING JAYA, 47810 PETALING, SELANGOR","KAFETERIA ARAS 2, INSTITUT ENDOKRIN, KEMENTERIAN KESIHATAN MALAYSIA HOSPITAL PUTRAJAYA, PUSAT PENTADBIRAN KERAJAAN PERSEKUTUAN PRESINT 7, PUTRAJAYA, 62250 PUTRAJAYA, WILAYAH
PERSEKUTUAN KUALA LUMPUR",6017-6449207,13/10/2025,12/10/2028,BeB0325118-0/1
53,WP KUALA LUMPUR & PUTRAJAYA,AEON CO. (M) BHD,"AEON CO. (M) BHD, AEON TAMAN MALURI SHOPPING CENTRE, JALAN JEJAKA, TAMAN MALURI, CHERAS, 55100 CHERAS, WILAYAH PERSEKUTUAN KUALA LUMPUR","AEON CO (M) BHD, AEON WANGSA MAJU STORE, JALAN R1, SEKSYEN 1, BANDAR BARU WANGSA MAJU, KUALA LUMPUR, 53300 TITIWANGSA, WILAYAH PERSEKUTUAN KUALA
LUMPUR",hqadmincomplianc e@aeonretail.com. my,13/10/2025,12/10/2028,BeW0822033-0/1
